REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT),TOTAL RAINFALL(MM),,
WESTERN,SHAMA AHANTA EAST,1/1/2008,MAIZE,"1,099.00",1.15,"1,263.85",1518,,
WESTERN,WEST AHANTA,1/1/2008,MAIZE,"1,433.00",1.19,"1,705.27",1518,,
WESTERN,MPORHOR WASSA EAST,1/1/2008,MAIZE,"2,034.00",1.32,"2,684.88",1518,,
WESTERN,WASSA WEST,1/1/2008,MAIZE,"2,204.00",1.2,"2,644.80",1518,,
WESTERN,EAST NZEMA,1/1/2008,MAIZE,"1,550.00",1.38,"2,139.00",1518,,
WESTERN,JOMORO,1/1/2008,MAIZE,928,1.3,"1,206.40",1518,,
WESTERN,AMENFI EAST,1/1/2008,MAIZE,"5,786.00",1.39,"8,042.54",1518,,
WESTERN,AMENFI  WEST (WASSA AMENFI),1/1/2008,MAIZE,"5,396.00",1.4,"7,554.40",1518,,
WESTERN,AOWIN -SUAMAN,1/1/2008,MAIZE,"8,986.00",1.5,"13,479.00",1518,,
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1/1/2008,MAIZE,"5,194.00",1.42,"7,375.48",1518,,
WESTERN,SEFWI-WIAWSO,1/1/2008,MAIZE,"7,166.00",1.49,"10,677.34",1518,,
WESTERN,BIA,1/1/2008,MAIZE,"5,528.00",1.53,"8,457.84",1518,,
WESTERN,JUABESO,1/1/2008,MAIZE,"6,836.00",1.51,"10,322.36",1518,,
WESTERN,SHAMA AHANTA EAST,1/1/2008,RICE,93,1.22,113.46,1518,,
WESTERN,WEST AHANTA,1/1/2008,RICE,96,1.19,114.24,1518,,
WESTERN,MPORHOR WASSA EAST,1/1/2008,RICE,81,1.2,97.2,1518,,
WESTERN,WASSA WEST,1/1/2008,RICE,"1,406.00",1.18,"1,659.08",1518,,
WESTERN,EAST NZEMA,1/1/2008,RICE,561,1.35,757.35,1518,,
WESTERN,JOMORO,1/1/2008,RICE,969,1.2,"1,162.80",1518,,
WESTERN,AMENFI EAST,1/1/2008,RICE,"1,181.00",1.21,"1,429.01",1518,,
WESTERN,AMENFI  WEST (WASSA AMENFI),1/1/2008,RICE,"1,263.00",1.29,"1,629.27",1518,,
WESTERN,AOWIN -SUAMAN,1/1/2008,RICE,"1,628.00",1.35,"2,197.80",1518,,
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1/1/2008,RICE,"1,510.00",1.16,"1,751.60",1518,,
WESTERN,SEFWI-WIAWSO,1/1/2008,RICE,"2,434.00",1.27,"3,091.18",1518,,
WESTERN,BIA,1/1/2008,RICE,"1,757.00",1.17,"2,055.69",1518,,
WESTERN,JUABESO,1/1/2008,RICE,"1,904.00",1.58,"3,008.32",1518,,
WESTERN,SHAMA AHANTA EAST,1/1/2008,CASSAVA,"2,425.00",7.8,"18,915.00",1518,,
WESTERN,WEST AHANTA,1/1/2008,CASSAVA,"4,056.00",9.3,"37,720.80",1518,,
WESTERN,MPORHOR WASSA EAST,1/1/2008,CASSAVA,"5,620.00",10.7,"60,134.00",1518,,
WESTERN,WASSA WEST,1/1/2008,CASSAVA,"4,086.00",9.7,"39,634.20",1518,,
WESTERN,EAST NZEMA,1/1/2008,CASSAVA,"6,015.00",9.3,"55,939.50",1518,,
WESTERN,JOMORO,1/1/2008,CASSAVA,"4,829.00",9.7,"46,841.30",1518,,
WESTERN,AMENFI EAST,1/1/2008,CASSAVA,"5,400.00",9,"48,600.00",1518,,
WESTERN,AMENFI  WEST (WASSA AMENFI),1/1/2008,CASSAVA,"3,616.00",9.1,"32,905.60",1518,,
WESTERN,AOWIN -SUAMAN,1/1/2008,CASSAVA,"10,950.00",9.5,"104,025.00",1518,,
