,REGION,CROP,TOTAL RAINFALL(MM),AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
0,3,0,1518,1099.0,1.15,1263.85
1,3,0,1518,1433.0,1.19,1705.27
2,3,0,1518,2034.0,1.32,2684.88
3,3,0,1518,2204.0,1.2,2644.8
4,3,0,1518,1550.0,1.38,2139.0
5,3,0,1518,928.0,1.3,1206.4
6,3,0,1518,5786.0,1.39,8042.54
7,3,0,1518,5396.0,1.4,7554.4
8,3,0,1518,8986.0,1.5,13479.0
9,3,0,1518,5194.0,1.42,7375.48
10,3,0,1518,7166.0,1.49,10677.34
11,3,0,1518,5528.0,1.53,8457.84
12,3,0,1518,6836.0,1.51,10322.36
13,3,3,1518,93.0,1.22,113.46
14,3,3,1518,96.0,1.19,114.24
15,3,3,1518,81.0,1.2,97.2
16,3,3,1518,1406.0,1.18,1659.08
17,3,3,1518,561.0,1.35,757.35
18,3,3,1518,969.0,1.2,1162.8
19,3,3,1518,1181.0,1.21,1429.01
20,3,3,1518,1263.0,1.29,1629.27
21,3,3,1518,1628.0,1.35,2197.8
22,3,3,1518,1510.0,1.16,1751.6
23,3,3,1518,2434.0,1.27,3091.18
24,3,3,1518,1757.0,1.17,2055.69
25,3,3,1518,1904.0,1.58,3008.32
26,3,1,1518,2425.0,7.8,18915.0
27,3,1,1518,4056.0,9.3,37720.8
28,3,1,1518,5620.0,10.7,60134.0
29,3,1,1518,4086.0,9.7,39634.2
30,3,1,1518,6015.0,9.3,55939.5
31,3,1,1518,4829.0,9.7,46841.3
32,3,1,1518,5400.0,9.0,48600.0
33,3,1,1518,3616.0,9.1,32905.6
34,3,1,1518,10950.0,9.5,104025.0
35,3,1,1518,7412.0,9.3,68931.6
36,3,1,1518,9942.0,10.5,104391.0
37,3,1,1518,3324.0,10.8,35899.2
38,3,1,1518,4996.0,10.8,53956.8
39,3,2,1518,31.0,3.6,111.6
40,3,2,1518,32.0,3.3,105.6
41,3,2,1518,202.0,5.6,1131.2
42,3,2,1518,186.0,4.8,892.8
43,3,2,1518,32.0,3.4,108.8
44,3,2,1518,22.0,3.2,70.4
45,3,2,1518,522.0,7.38,3852.36
46,3,2,1518,577.0,6.45,3721.65
47,3,2,1518,1073.0,6.8,7296.4
48,3,2,1518,2549.0,7.3,18607.7
