REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
WESTERN,SHAMA AHANTA EAST,2008,MAIZE,1099.00,1.15,1263.85
WESTERN,WEST AHANTA,2008,MAIZE,1433.00,1.19,1705.27
WESTERN,MPORHOR WASSA EAST,2008,MAIZE,2034.00,1.32,2684.88
WESTERN,WASSA WEST,2008,MAIZE,2204.00,1.20,2644.80
WESTERN,EAST NZEMA,2008,MAIZE,1550.00,1.38,2139.00
WESTERN,JOMORO,2008,MAIZE,928.00,1.30,1206.40
WESTERN,AMENFI EAST,2008,MAIZE,5786.00,1.39,8042.54
WESTERN,AMENFI  WEST (WASSA AMENFI),2008,MAIZE,5396.00,1.40,7554.40
WESTERN,AOWIN -SUAMAN,2008,MAIZE,8986.00,1.50,13479.00
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,MAIZE,5194.00,1.42,7375.48
WESTERN,SEFWI-WIAWSO,2008,MAIZE,7166.00,1.49,10677.34
WESTERN,BIA,2008,MAIZE,5528.00,1.53,8457.84
WESTERN,JUABESO,2008,MAIZE,6836.00,1.51,10322.36
WESTERN,SHAMA AHANTA EAST,2008,RICE,93.00,1.22,113.46
WESTERN,WEST AHANTA,2008,RICE,96.00,1.19,114.24
WESTERN,MPORHOR WASSA EAST,2008,RICE,81.00,1.20,97.20
WESTERN,WASSA WEST,2008,RICE,1406.00,1.18,1659.08
WESTERN,EAST NZEMA,2008,RICE,561.00,1.35,757.35
WESTERN,JOMORO,2008,RICE,969.00,1.20,1162.80
WESTERN,AMENFI EAST,2008,RICE,1181.00,1.21,1429.01
WESTERN,AMENFI  WEST (WASSA AMENFI),2008,RICE,1263.00,1.29,1629.27
WESTERN,AOWIN -SUAMAN,2008,RICE,1628.00,1.35,2197.80
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,RICE,1510.00,1.16,1751.60
WESTERN,SEFWI-WIAWSO,2008,RICE,2434.00,1.27,3091.18
WESTERN,BIA,2008,RICE,1757.00,1.17,2055.69
WESTERN,JUABESO,2008,RICE,1904.00,1.58,3008.32
WESTERN,SHAMA AHANTA EAST,2008,CASSAVA,2425.00,7.80,18915.00
WESTERN,WEST AHANTA,2008,CASSAVA,4056.00,9.30,37720.80
WESTERN,MPORHOR WASSA EAST,2008,CASSAVA,5620.00,10.70,60134.00
WESTERN,WASSA WEST,2008,CASSAVA,4086.00,9.70,39634.20
WESTERN,EAST NZEMA,2008,CASSAVA,6015.00,9.30,55939.50
WESTERN,JOMORO,2008,CASSAVA,4829.00,9.70,46841.30
WESTERN,AMENFI EAST,2008,CASSAVA,5400.00,9.00,48600.00
WESTERN,AMENFI  WEST (WASSA AMENFI),2008,CASSAVA,3616.00,9.10,32905.60
WESTERN,AOWIN -SUAMAN,2008,CASSAVA,10950.00,9.50,104025.00
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,CASSAVA,7412.00,9.30,68931.60
WESTERN,SEFWI-WIAWSO,2008,CASSAVA,9942.00,10.50,104391.00
WESTERN,BIA,2008,CASSAVA,3324.00,10.80,35899.20
WESTERN,JUABESO,2008,CASSAVA,4996.00,10.80,53956.80
WESTERN,SHAMA AHANTA EAST,2008,YAM,31.00,3.60,111.60
WESTERN,WEST AHANTA,2008,YAM,32.00,3.30,105.60
WESTERN,MPORHOR WASSA EAST,2008,YAM,202.00,5.60,1131.20
WESTERN,WASSA WEST,2008,YAM,186.00,4.80,892.80
WESTERN,EAST NZEMA,2008,YAM,32.00,3.40,108.80
WESTERN,JOMORO,2008,YAM,22.00,3.20,70.40
WESTERN,AMENFI EAST,2008,YAM,522.00,7.38,3852.36
WESTERN,AMENFI  WEST (WASSA AMENFI),2008,YAM,577.00,6.45,3721.65
WESTERN,AOWIN -SUAMAN,2008,YAM,1073.00,6.80,7296.40
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2008,YAM,2549.00,7.30,18607.70
WESTERN,SEFWI-WIAWSO,2008,YAM,3080.00,8.68,26734.40
WESTERN,BIA,2008,YAM,1753.00,10.00,17530.00
WESTERN,JUABESO,2008,YAM,1921.00,10.18,19555.78
CENTRAL,UPPER DENKYIRA,2008,MAIZE,9570.00,2.40,22968.00
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2008,MAIZE,6281.00,2.80,17586.80
CENTRAL,ASSIN SOUTH,2008,MAIZE,3924.00,1.93,7573.32
CENTRAL,ASSIN NORTH,2008,MAIZE,9460.00,1.49,14104.86
CENTRAL,ABURA-ASEBU-KWAMANKESE,2008,MAIZE,3974.52,1.84,7303.18
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2008,MAIZE,4799.30,2.00,9574.60
CENTRAL,MFANTSIMAN,2008,MAIZE,13168.65,2.40,31604.76
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2008,MAIZE,12840.30,1.50,19260.45
CENTRAL,AJUMAKO-ENYAN-ESIAM,2008,MAIZE,6371.20,2.00,12742.40
CENTRAL,AWUTU-EFUTU-SENYA,2008,MAIZE,20253.20,1.81,36577.28
CENTRAL,GOMOA,2008,MAIZE,7699.25,2.50,19248.13
CENTRAL,CAPE COAST,2008,MAIZE,8038.00,1.24,9967.12
