Row Labels,Sum of PRODUCTION (MT),Sum of YIELD (MT/HA),,Row Labels,Sum of PRODUCTION (MT),Sum of YIELD (MT/HA),,,,,,,,,,,,,,,,,,,,,,
Grand Total,268915593.4,57334.55,,BRONG AHAFO,74214736.61,10950.11,,,,,,,,,,,,,,,,,,,,,,
ASHANTI,44244900.27,12896.91,,EASTERN,64268479.24,12007.05,,,,,,,,,,,,,,,,,,,,,,
EASTERN,64268479.24,12007.05,,ASHANTI,44244900.27,12896.91,,,,,,,,,,,,,,,,,,,,,,
BRONG AHAFO,74214736.61,10950.11,,CENTRAL,27228698.67,5559.21,,,,,,,,,,,,,,,,,,,,,,
VOLTA,23063503.81,6701.82,,VOLTA,23063503.81,6701.82,,,,,,,,,,,,,,,,,,,,,,
WESTERN,19629777.05,5638.04,,WESTERN,19629777.05,5638.04,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,27228698.67,5559.21,,UPPER WEST,10337847.52,2095.79,,,,,,,,,,,,,,,,,,,,,,
UPPER WEST,10337847.52,2095.79,,UPPER EAST,3940990.43,806.81,,,,,,,,,,,,,,,,,,,,,,
UPPER EAST,3940990.43,806.81,,NORTHERN REGION,1872355.98,402.2,,,,,,,,,,,,,,,,,,,,,,
NORTHERN REGION,1872355.98,402.2,,GREATER ACCRA,114303.83,276.61,,,,,,,,,,,,,,,,,,,,,,
GREATER ACCRA,114303.83,276.61,,Grand Total,268915593.4,57334.55,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of PRODUCTION (MT),Sum of YIELD (MT/HA),,,,,,,,,,,,,,,,,,,,,,,,,,
2017,36416638.65,8784.11,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,30025386.42,6842.35,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,28519805.53,6165.86,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,27859083.2,6113.19,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,26664516.71,6022.15,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,25254504.93,5831.28,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,24755654.03,4602.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,24390319.2,4540.76,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,23153159.42,4288.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,21876525.32,4144.42,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,268915593.4,57334.55,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sum of PRODUCTION (MT),,,,,,,,,,Sum of YIELD (MT/HA),,,,,,,,,,Total Sum of PRODUCTION (MT),Total Sum of YIELD (MT/HA),,,,,,
Row Labels,ASHANTI,BRONG AHAFO,CENTRAL,EASTERN,GREATER ACCRA,NORTHERN REGION,UPPER EAST,UPPER WEST,VOLTA,WESTERN,ASHANTI,BRONG AHAFO,CENTRAL,EASTERN,GREATER ACCRA,NORTHERN REGION,UPPER EAST,UPPER WEST,VOLTA,WESTERN,,,,,,,,
2008,3284890.13,6110273.13,2488926.63,5088263.65,,,469811.87,784859.91,1933470,1716030,834.36,862.84,438.28,874.2,,,80.4,170.29,452.88,431.17,21876525.32,4144.42,,,,,,
2009,3286250.22,6723260.51,2540212.03,5348294,,,440360,957160,2189354.5,1668268.16,874.05,910.21,439.02,909.9,,,73.22,193.03,479.51,409.39,23153159.42,4288.33,,,,,,
2010,3934310.59,6899731.8,2380438.5,5834455.2,,,467990.11,1027520.7,2185352.8,1660519.5,1010.66,938.25,457.7,957.03,,,73.14,196.52,495.4,412.06,24390319.2,4540.76,,,,,,
